measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,BFA,SEX_BTSX,2003,0.64,0.79,0.52
incidence_per_1000_uninfected,AGO,SEX_FMLE,2011,1.5,1.7,1.3
incidence_per_1000_uninfected,CMR,SEX_FMLE,2004,3.5,4.0,3.1
incidence_per_1000_uninfected,SYC,SEX_BTSX,2018,,,
incidence_per_1000_uninfected,MOZ,SEX_MLE,2016,4.5,5.3,4.0
incidence_per_1000_uninfected,MLI,SEX_MLE,2008,0.57,0.73,0.47
incidence_per_1000_uninfected,GNB,SEX_MLE,1991,0.54,0.79,0.35
incidence_per_1000_uninfected,SWZ,SEX_FMLE,2002,24.4,26.5,22.4
incidence_per_1000_uninfected,DZA,SEX_BTSX,2006,0.1,0.1,0.1
incidence_per_1000_uninfected,BFA,SEX_BTSX,1996,1.3,1.7,1.1
incidence_per_1000_uninfected,TGO,SEX_MLE,2024,0.27,0.44,0.15
incidence_per_1000_uninfected,GHA,SEX_FMLE,2011,1.1,1.3,0.87
incidence_per_1000_uninfected,RWA,SEX_FMLE,2014,0.8,1.1,0.63
incidence_per_1000_uninfected,BWA,SEX_MLE,1994,21.7,24.7,19.7
incidence_per_1000_uninfected,GHA,SEX_BTSX,2002,1.5,1.7,1.2
incidence_per_1000_uninfected,TGO,SEX_FMLE,2016,0.63,0.86,0.44
incidence_per_1000_uninfected,GIN,SEX_MLE,2003,1.1,1.4,0.93
incidence_per_1000_uninfected,BDI,SEX_BTSX,2015,0.25,0.37,0.17
incidence_per_1000_uninfected,MUS,SEX_FMLE,2021,,,
incidence_per_1000_uninfected,ETH,SEX_BTSX,1992,3.4,6.9,2.0
incidence_per_1000_uninfected,TCD,SEX_MLE,2018,0.28,0.4,0.18
incidence_per_1000_uninfected,CMR,SEX_MLE,2008,2.1,2.5,1.8
incidence_per_1000_uninfected,ZAF,SEX_MLE,1996,10.7,12.3,9.4
incidence_per_1000_uninfected,TGO,SEX_MLE,1990,1.2,1.7,0.92
incidence_per_1000_uninfected,SEN,SEX_FMLE,1995,0.44,0.48,0.41
incidence_per_1000_uninfected,TCD,SEX_MLE,2019,0.25,0.37,0.17
incidence_per_1000_uninfected,STP,SEX_MLE,2005,,,
incidence_per_1000_uninfected,KEN,SEX_BTSX,2020,0.48,0.75,0.31
incidence_per_1000_uninfected,LSO,SEX_FMLE,2020,4.6,6.0,3.6
incidence_per_1000_uninfected,TGO,SEX_MLE,1993,2.4,3.1,1.8
incidence_per_1000_uninfected,GAB,SEX_BTSX,2016,1.2,1.7,0.77
incidence_per_1000_uninfected,BWA,SEX_MLE,1999,17.5,19.9,15.9
incidence_per_1000_uninfected,BEN,SEX_FMLE,2018,0.21,0.3,0.14
incidence_per_1000_uninfected,SYC,SEX_BTSX,2003,,,
incidence_per_1000_uninfected,LBR,SEX_MLE,2001,,,
incidence_per_1000_uninfected,BEN,SEX_BTSX,2014,0.3,0.4,0.23
incidence_per_1000_uninfected,ETH,SEX_BTSX,2006,0.53,1.1,0.3
incidence_per_1000_uninfected,ZAF,SEX_FMLE,2016,6.5,7.3,5.8
incidence_per_1000_uninfected,COM,SEX_FMLE,2008,0.1,0.1,0.01
incidence_per_1000_uninfected,ZMB,SEX_BTSX,2009,4.9,5.5,4.3
incidence_per_1000_uninfected,MOZ,SEX_MLE,2002,7.9,9.3,7.1
incidence_per_1000_uninfected,LBR,SEX_MLE,2007,,,
incidence_per_1000_uninfected,ERI,SEX_BTSX,2003,0.56,0.79,0.36
incidence_per_1000_uninfected,BWA,SEX_MLE,2005,9.0,10.9,7.8
incidence_per_1000_uninfected,ZWE,SEX_BTSX,2005,9.5,10.6,8.7
