country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Equatorial Guinea,aids_deaths,2027,1893.391788856305,1454.4656891495601,1535.8609970674488,2934.034604105572,2935.5560117302052,
Equatorial Guinea,aids_deaths,2028,1407.3020527859237,1026.950146627566,1092.3706744868036,2989.565982404692,2988.8052785923755,
Equatorial Guinea,aids_deaths,2029,1023.1466275659825,786.5677419354839,825.3636363636364,3022.276246334311,3021.515542521994,
Equatorial Guinea,aids_deaths,2030,810.9102639296188,649.6410557184751,686.1548387096775,3053.465102639296,3052.7043988269797,
Eritrea,new_infections,2020,311.2437,,,,,
Eritrea,new_infections,2021,372.16077,,,,,
Eritrea,new_infections,2022,394.43254,,,,,
Eritrea,new_infections,2023,365.46089,,,,,
Eritrea,new_infections,2024,365.45557,,,,,
Eritrea,new_infections,2025,340.66666666666663,340.66666666666663,340.66666666666663,340.66666666666663,340.66666666666663,340.66666666666663
Eritrea,new_infections,2026,304.16666666666663,261.5833333333333,298.0833333333333,320.38888888888886,,
Eritrea,new_infections,2027,247.38888888888889,190.61111111111111,235.2222222222222,302.13888888888886,330.52777777777777,
Eritrea,new_infections,2028,192.63888888888889,143.97222222222223,190.61111111111111,285.91666666666663,320.38888888888886,
Eritrea,new_infections,2029,141.94444444444443,103.41666666666666,150.05555555555554,269.69444444444446,312.27777777777777,
Eritrea,new_infections,2030,83.13888888888889,83.13888888888889,121.66666666666666,255.5,296.05555555555554,
Eritrea,aids_deaths,2020,336.86484,,,,,
Eritrea,aids_deaths,2021,311.16066,,,,,
Eritrea,aids_deaths,2022,309.74329,,,,,
Eritrea,aids_deaths,2023,294.08885,,,,,
Eritrea,aids_deaths,2024,279.10371,,,,,
Eritrea,aids_deaths,2025,280.0568181818182,280.0568181818182,280.0568181818182,280.0568181818182,280.0568181818182,280.0568181818182
Eritrea,aids_deaths,2026,242.01136363636365,225.10227272727275,226.15909090909093,283.22727272727275,283.22727272727275,
Eritrea,aids_deaths,2027,183.88636363636365,162.75,163.8068181818182,282.17045454545456,284.28409090909093,
Eritrea,aids_deaths,2028,141.61363636363637,131.04545454545456,132.10227272727275,280.0568181818182,282.17045454545456,
Eritrea,aids_deaths,2029,115.19318181818183,109.90909090909092,110.9659090909091,276.8863636363636,280.0568181818182,
Eritrea,aids_deaths,2030,98.28409090909092,91.94318181818183,93.0,272.65909090909093,274.7727272727273,
Eswatini,new_infections,2020,5261.89445,,,,,
Eswatini,new_infections,2021,5278.63503,,,,,
Eswatini,new_infections,2022,4354.5188,,,,,
Eswatini,new_infections,2023,4577.50317,,,,,
Eswatini,new_infections,2024,4219.76733,,,,,
Eswatini,new_infections,2025,3756.7494181536076,3756.7494181536076,3756.7494181536076,3756.7494181536076,3756.7494181536076,3756.7494181536076
Eswatini,new_infections,2026,3468.6501163692787,3345.8805275407294,3570.1396431342127,3647.0752521334366,3791.1249030256013,
Eswatini,new_infections,2027,2915.3685027152833,2861.3498836307217,3278.766485647789,3548.8595810705974,3853.3281613653994,
Eswatini,new_infections,2028,2327.711404189294,2406.2839410395654,2962.8394103956557,3432.6377036462372,3902.4359968968192,
Eswatini,new_infections,2029,1751.5128006206362,1997.0519782777346,2643.6384794414275,3304.957331264546,3943.3591931730025,
Eswatini,new_infections,2030,1214.600465477114,1632.0170674941814,2326.0744763382468,3169.0923196276185,3981.008533747091,
Eswatini,aids_deaths,2020,3295.59058,,,,,
Eswatini,aids_deaths,2021,2943.12427,,,,,
Eswatini,aids_deaths,2022,2916.11035,,,,,
Eswatini,aids_deaths,2023,2933.64014,,,,,
Eswatini,aids_deaths,2024,2861.39404,,,,,
