Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Lesotho,6700 ,5000 , 9000,,11 000 ,8500 , 14 000,,17 000 ,14 000 , 21 000,,25 000 ,21 000 , 31 000,,35 000 ,29 000 , 43 000,,46 000 ,39 000 , 56 000,,56 000 ,48 000 , 68 000,,64 000 ,56 000 , 76 000,,71 000 ,63 000 , 83 000,,77 000 ,68 000 , 89 000,,81 000 ,72 000 , 94 000,,84 000 ,76 000 , 98 000,,87 000 ,79 000 , 100 000,,89 000 ,81 000 , 100 000,,91 000 ,82 000 , 110 000,,92 000 ,84 000 , 110 000,,94 000 ,86 000 , 110 000,,97 000 ,88 000 , 110 000,,100 000 ,91 000 , 120 000,,100 000 ,94 000 , 120 000,,110 000 ,97 000 , 120 000,,110 000 ,99 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,100 000 , 130 000,,110 000 ,99 000 , 120 000,,110 000 ,98 000 , 120 000,,100 000 ,96 000 , 120 000,,100 000 ,94 000 , 120 000,,100 000 ,92 000 , 120 000,,98 000 ,91 000 , 110 000,,96 000 ,89 000 , 110 000,
Liberia,7200 ,3100 , 14 000,,9200 ,4500 , 17 000,,11 000 ,6000 , 18 000,,12 000 ,7300 , 19 000,,12 000 ,8000 , 18 000,,13 000 ,9600 , 18 000,,13 000 ,10 000 , 18 000,,15 000 ,12 000 , 20 000,,16 000 ,13 000 , 21 000,,17 000 ,13 000 , 21 000,,17 000 ,14 000 , 20 000,,16 000 ,14 000 , 20 000,,16 000 ,13 000 , 19 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,14 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,14 000 ,13 000 , 17 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 15 000,,12 000 ,11 000 , 15 000,,12 000 ,10 000 , 15 000,,12 000 ,10 000 , 14 000,,12 000 ,9800 , 14 000,,11 000 ,9600 , 14 000,,11 000 ,9500 , 14 000,,11 000 ,9400 , 14 000,,11 000 ,9200 , 14 000,
Libya,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , 520,,570 ,<500 , 660,,700 ,590 , 820,,840 ,700 , 970,,990 ,830 , 1100,,1100 ,970 , 1300,,1300 ,1100 , 1500,,1500 ,1300 , 1600,,1700 ,1500 , 1800,,1900 ,1700 , 2000,,2100 ,1900 , 2200,,2300 ,2100 , 2400,,2500 ,2300 , 2700,,2400 ,2200 , 2600,,2600 ,2300 , 2700,,2700 ,2500 , 2900,,2900 ,2700 , 3100,,3100 ,2800 , 3300,,3200 ,3000 , 3500,,3400 ,3100 , 3700,,3500 ,3200 , 3800,,3700 ,3400 , 4000,,3800 ,3500 , 4200,,4000 ,3600 , 4300,,4100 ,3700 , 4500,,4200 ,3800 , 4600,,4400 ,3800 , 4800,
Lithuania,<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",<500 ,<500 , 590,"Children estimates were not available at the time of publication.",540 ,<500 , 620,"Children estimates were not available at the time of publication.",580 ,<500 , 670,"Children estimates were not available at the time of publication.",620 ,510 , 700,"Children estimates were not available at the time of publication.",660 ,550 , 760,"Children estimates were not available at the time of publication.",700 ,580 , 800,"Children estimates were not available at the time of publication.",740 ,630 , 850,"Children estimates were not available at the time of publication.",790 ,670 , 900,"Children estimates were not available at the time of publication.",840 ,730 , 960,"Children estimates were not available at the time of publication.",900 ,780 , 1000,"Children estimates were not available at the time of publication.",960 ,850 , 1100,"Children estimates were not available at the time of publication.",1000 ,910 , 1100,"Children estimates were not available at the time of publication.",1100 ,990 , 1200,"Children estimates were not available at the time of publication.",1200 ,1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1200 , 1500,"Children estimates were not available at the time of publication.",1400 ,1300 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1600,"Children estimates were not available at the time of publication.",1500 ,1400 , 1600,"Children estimates were not available at the time of publication.",1500 ,1400 , 1700,"Children estimates were not available at the time of publication.",1600 ,1500 , 1800,"Children estimates were not available at the time of publication.",1700 ,1600 , 1900,"Children estimates were not available at the time of publication.",1800 ,1600 , 1900,"Children estimates were not available at the time of publication.",1800 ,1700 , 2000,"Children estimates were not available at the time of publication.",1900 ,1800 , 2100,"Children estimates were not available at the time of publication.",2000 ,1800 , 2100,"Children estimates were not available at the time of publication.",2100 ,1900 , 2300,"Children estimates were not available at the time of publication.",2200 ,2000 , 2400,"Children estimates were not available at the time of publication.",2400 ,2200 , 2600,"Children estimates were not available at the time of publication.",2500 ,2200 , 2700,"Children estimates were not available at the time of publication.",2500 ,2200 , 2800,"Children estimates were not available at the time of publication.",2600 ,2200 , 3000,"Children estimates were not available at the time of publication.",2700 ,2200 , 3200,"Children estimates were not available at the time of publication."
Luxembourg,<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",<500 ,<500 , 560,"Children estimates were not available at the time of publication.",520 ,<500 , 590,"Children estimates were not available at the time of publication.",550 ,<500 , 630,"Children estimates were not available at the time of publication.",600 ,500 , 680,"Children estimates were not available at the time of publication.",640 ,540 , 730,"Children estimates were not available at the time of publication.",680 ,570 , 780,"Children estimates were not available at the time of publication.",710 ,600 , 810,"Children estimates were not available at the time of publication.",760 ,640 , 860,"Children estimates were not available at the time of publication.",800 ,680 , 910,"Children estimates were not available at the time of publication.",850 ,720 , 960,"Children estimates were not available at the time of publication.",890 ,750 , 1000,"Children estimates were not available at the time of publication.",930 ,780 , 1100,"Children estimates were not available at the time of publication.",960 ,810 , 1100,"Children estimates were not available at the time of publication.",990 ,840 , 1200,"Children estimates were not available at the time of publication.",1000 ,860 , 1200,"Children estimates were not available at the time of publication.",1100 ,940 , 1300,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication."
Madagascar,<500 ,<100 , 710,,<500 ,<200 , 890,,510 ,<200 , 1100,,630 ,<200 , 1300,,770 ,<500 , 1500,,920 ,<500 , 1900,,1100 ,<500 , 2300,,1300 ,530 , 2700,,1600 ,690 , 3100,,1900 ,890 , 3700,,2300 ,1200 , 4600,,2800 ,1600 , 5300,,3500 ,2000 , 6200,,4300 ,2600 , 7200,,5200 ,3200 , 8300,,6200 ,4000 , 9500,,7400 ,4900 , 11 000,,8700 ,6000 , 12 000,,10 000 ,7100 , 13 000,,11 000 ,8400 , 15 000,,13 000 ,9600 , 16 000,,14 000 ,11 000 , 18 000,,15 000 ,12 000 , 19 000,,16 000 ,13 000 , 21 000,,18 000 ,14 000 , 22 000,,19 000 ,15 000 , 24 000,,20 000 ,16 000 , 26 000,,22 000 ,17 000 , 28 000,,24 000 ,19 000 , 31 000,,26 000 ,21 000 , 34 000,,28 000 ,22 000 , 37 000,,31 000 ,24 000 , 41 000,,33 000 ,25 000 , 45 000,,39 000 ,29 000 , 52 000,,45 000 ,34 000 , 60 000,
Malawi,180 000 ,170 000 , 200 000,,220 000 ,210 000 , 240 000,,260 000 ,240 000 , 280 000,,280 000 ,260 000 , 310 000,,290 000 ,280 000 , 320 000,,320 000 ,300 000 , 340 000,,330 000 ,310 000 , 360 000,,340 000 ,320 000 , 370 000,,350 000 ,330 000 , 380 000,,350 000 ,330 000 , 380 000,,350 000 ,330 000 , 380 000,,340 000 ,320 000 , 370 000,,330 000 ,310 000 , 360 000,,320 000 ,300 000 , 350 000,,310 000 ,290 000 , 340 000,,300 000 ,280 000 , 330 000,,290 000 ,280 000 , 320 000,,290 000 ,270 000 , 320 000,,290 000 ,270 000 , 320 000,,290 000 ,280 000 , 320 000,,300 000 ,280 000 , 320 000,,300 000 ,290 000 , 330 000,,310 000 ,290 000 , 330 000,,320 000 ,300 000 , 340 000,,320 000 ,300 000 , 340 000,,330 000 ,310 000 , 350 000,,330 000 ,310 000 , 360 000,,330 000 ,320 000 , 360 000,,340 000 ,320 000 , 360 000,,340 000 ,320 000 , 360 000,,340 000 ,320 000 , 360 000,,340 000 ,320 000 , 360 000,,340 000 ,320 000 , 360 000,,330 000 ,310 000 , 360 000,,330 000 ,310 000 , 360 000,
Malaysia,23 000 ,18 000 , 26 000,,28 000 ,22 000 , 32 000,,31 000 ,26 000 , 36 000,,34 000 ,28 000 , 39 000,,36 000 ,30 000 , 42 000,,38 000 ,32 000 , 44 000,,40 000 ,34 000 , 46 000,,42 000 ,35 000 , 48 000,,43 000 ,37 000 , 50 000,,45 000 ,38 000 , 51 000,,46 000 ,39 000 , 53 000,,47 000 ,40 000 , 54 000,,49 000 ,42 000 , 55 000,,50 000 ,43 000 , 57 000,,51 000 ,45 000 , 58 000,,53 000 ,46 000 , 60 000,,54 000 ,48 000 , 61 000,,56 000 ,49 000 , 62 000,,57 000 ,51 000 , 64 000,,59 000 ,52 000 , 65 000,,60 000 ,54 000 , 66 000,,61 000 ,55 000 , 67 000,,62 000 ,56 000 , 67 000,,63 000 ,57 000 , 68 000,,63 000 ,57 000 , 68 000,,64 000 ,58 000 , 69 000,,65 000 ,59 000 , 70 000,,65 000 ,59 000 , 71 000,,66 000 ,60 000 , 72 000,,66 000 ,61 000 , 73 000,,67 000 ,61 000 , 73 000,,67 000 ,61 000 , 74 000,,67 000 ,61 000 , 74 000,,67 000 ,60 000 , 75 000,,68 000 ,60 000 , 75 000,
Maldives,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
Mali,20 000 ,9100 , 37 000,,23 000 ,12 000 , 41 000,,27 000 ,15 000 , 43 000,,30 000 ,19 000 , 46 000,,33 000 ,22 000 , 47 000,,35 000 ,24 000 , 49 000,,37 000 ,26 000 , 50 000,,38 000 ,29 000 , 50 000,,39 000 ,30 000 , 49 000,,39 000 ,31 000 , 49 000,,40 000 ,32 000 , 48 000,,40 000 ,33 000 , 48 000,,39 000 ,33 000 , 47 000,,39 000 ,33 000 , 46 000,,39 000 ,33 000 , 46 000,,39 000 ,33 000 , 46 000,,39 000 ,33 000 , 46 000,,40 000 ,34 000 , 47 000,,40 000 ,35 000 , 48 000,,41 000 ,36 000 , 49 000,,42 000 ,36 000 , 49 000,,42 000 ,37 000 , 50 000,,41 000 ,36 000 , 50 000,,41 000 ,36 000 , 49 000,,41 000 ,35 000 , 49 000,,40 000 ,35 000 , 48 000,,40 000 ,34 000 , 48 000,,40 000 ,34 000 , 48 000,,39 000 ,34 000 , 48 000,,39 000 ,33 000 , 47 000,,38 000 ,33 000 , 47 000,,38 000 ,33 000 , 46 000,,38 000 ,32 000 , 46 000,,38 000 ,32 000 , 46 000,,37 000 ,32 000 , 46 000,
Malta,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",<500 ,<500 , 580,"Children estimates were not available at the time of publication.",520 ,<500 , 620,"Children estimates were not available at the time of publication.",560 ,<500 , 670,"Children estimates were not available at the time of publication.",600 ,<500 , 720,"Children estimates were not available at the time of publication.",640 ,520 , 770,"Children estimates were not available at the time of publication.",680 ,550 , 820,"Children estimates were not available at the time of publication.",720 ,580 , 870,"Children estimates were not available at the time of publication.",770 ,620 , 930,"Children estimates were not available at the time of publication.",820 ,660 , 980,"Children estimates were not available at the time of publication."
Marshall Islands,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Mauritania,850 ,520 , 2000,,1100 ,680 , 2200,,1300 ,910 , 2500,,1600 ,1200 , 2800,,2000 ,1500 , 3100,,2300 ,1700 , 3300,,2700 ,2100 , 3700,,3100 ,2500 , 4200,,3600 ,2900 , 4600,,4000 ,3200 , 5000,,4400 ,3600 , 5400,,4700 ,3900 , 5700,,4900 ,4100 , 5900,,5100 ,4300 , 5900,,5100 ,4400 , 6000,,5100 ,4400 , 6000,,5100 ,4400 , 5900,,5000 ,4200 , 5800,,4800 ,4100 , 5800,,4600 ,4000 , 5600,,4400 ,3700 , 5400,,4200 ,3500 , 5100,,3900 ,3300 , 4800,,3700 ,3100 , 4500,,3500 ,2900 , 4200,,3200 ,2700 , 3900,,3000 ,2600 , 3600,,2900 ,2500 , 3400,,2700 ,2300 , 3200,,2600 ,2300 , 3100,,2500 ,2200 , 2900,,2400 ,2100 , 2800,,2400 ,2100 , 2800,,2400 ,2100 , 2800,,2300 ,2100 , 2700,
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mexico,24 000 ,18 000 , 29 000,,31 000 ,26 000 , 37 000,,38 000 ,33 000 , 44 000,,45 000 ,39 000 , 51 000,,52 000 ,46 000 , 58 000,,59 000 ,52 000 , 65 000,,66 000 ,58 000 , 72 000,,73 000 ,64 000 , 79 000,,79 000 ,70 000 , 86 000,,85 000 ,76 000 , 92 000,,91 000 ,81 000 , 98 000,,97 000 ,87 000 , 100 000,,100 000 ,93 000 , 110 000,,110 000 ,99 000 , 120 000,,120 000 ,110 000 , 130 000,,130 000 ,110 000 , 130 000,,130 000 ,120 000 , 140 000,,140 000 ,130 000 , 150 000,,150 000 ,140 000 , 160 000,,160 000 ,140 000 , 170 000,,170 000 ,150 000 , 190 000,,180 000 ,160 000 , 200 000,,190 000 ,170 000 , 210 000,,200 000 ,180 000 , 220 000,,210 000 ,190 000 , 230 000,,220 000 ,200 000 , 240 000,,230 000 ,210 000 , 250 000,,240 000 ,220 000 , 260 000,,250 000 ,230 000 , 280 000,,270 000 ,240 000 , 290 000,,280 000 ,250 000 , 300 000,,290 000 ,260 000 , 320 000,,300 000 ,270 000 , 330 000,,310 000 ,280 000 , 350 000,,320 000 ,290 000 , 360 000,
Mongolia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 520,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",<500 ,<500 , 550,"Children estimates were not available at the time of publication.",520 ,<500 , 570,"Children estimates were not available at the time of publication.",530 ,<500 , 590,"Children estimates were not available at the time of publication.",540 ,<500 , 600,"Children estimates were not available at the time of publication.",550 ,<500 , 620,"Children estimates were not available at the time of publication.",570 ,510 , 640,"Children estimates were not available at the time of publication."
Montenegro,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 520,"Children estimates were not available at the time of publication.",<500 ,<500 , 550,"Children estimates were not available at the time of publication."
Morocco,1100 ,700 , 2000,,1400 ,930 , 2300,,1800 ,1200 , 2800,,2200 ,1500 , 3300,,2600 ,1800 , 3700,,3100 ,2200 , 4100,,3500 ,2600 , 4500,,3900 ,3000 , 5000,,4400 ,3400 , 5400,,4900 ,3800 , 5800,,5300 ,4300 , 6300,,5800 ,4800 , 6800,,6200 ,5200 , 7300,,6700 ,5600 , 7700,,7200 ,6100 , 8200,,7600 ,6600 , 8800,,8000 ,7000 , 9200,,8400 ,7400 , 9600,,8800 ,7700 , 10 000,,9100 ,8100 , 10 000,,9500 ,8400 , 11 000,,9800 ,8700 , 11 000,,10 000 ,9000 , 11 000,,10 000 ,9200 , 12 000,,11 000 ,9500 , 12 000,,11 000 ,9600 , 12 000,,11 000 ,9800 , 12 000,,11 000 ,10 000 , 13 000,,12 000 ,10 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,14 000 ,12 000 , 16 000,
